celebrity_name,wikidata_qid,wikidata_label,wikidata_social_media_followers,wikidata_social_media_followers_point_in_time,error
Charli D'Amelio,Q83648587,Charli D'Amelio,156800141,2025-06-08T00:00:00Z,
Teresa Giudice,Q7702149,Teresa Giudice,1032419,2023-02-06T00:00:00Z,
Vinny Guadagnino,Q4013318,Vinny Guadagnino,2772774,2023-02-04T00:00:00Z,
Shangela,,,,,no_wikidata_match
Gabby Windey,Q111171299,Gabby Windey,,,no_followers
Jamie Lynn Spears,Q55497,Jamie Lynn Spears,134000,2025-04-14T00:00:00Z,
Mira Sorvino,Q212026,Mira Sorvino,188469,2023-02-03T00:00:00Z,
Barry Williams,Q1255508,Barry Williams,2204,2021-01-02T00:00:00Z,
Alyson Hannigan,Q199927,Alyson Hannigan,1089583,2023-02-04T00:00:00Z,
Xochitl Gomez,Q102427314,Xochitl Gomez,,,no_followers
Adrian Peterson,Q373983,Adrian Peterson,1041907,2023-02-07T00:00:00Z,
Matt Walsh,Q2278533,Matt Walsh,153724,2023-02-06T00:00:00Z,
Tyson Beckford,Q738212,Tyson Beckford,,,no_followers
Jason Mraz,Q192515,Jason Mraz,3740000,2025-05-18T00:00:00Z,
Lele Pons,Q12297196,Lele Pons,18000000,2025-03-23T00:00:00Z,
Harry Jowsey,Q124809467,Harry Jowsey,,,no_followers
Mauricio Umansky,Q22078255,Mauricio Umansky,253677,2023-02-07T00:00:00Z,
Charity Lawson,Q117138689,Charity Lawson,,,no_followers
Ariana Madix,Q64852987,Ariana Madix,,,no_followers
Tori Spelling,Q229050,Tori Spelling,1773798,2023-10-29T00:00:00Z,
Eric Roberts,Q207969,Eric Roberts,47896,2023-02-11T00:00:00Z,
Reginald VelJohnson,Q470153,Reginald VelJohnson,,,no_followers
Chandler Kinney,Q22670597,Chandler Kinney,29604,2023-02-04T00:00:00Z,
