celebrity_name,season,normalized_average,variants_searched
Tori Spelling,33,0.312368,4
Chandler Kinney,33,0.279818,4
Stephen Nedoroscik,33,0.20067,4
Reginald VelJohnson,33,0.165156,5
Joey Graziadei,33,0.133342,4
Phaedra Parks,33,0.119825,4
Dwight Howard ,33,0.0,4
Robert Irwin,34,1.0,4
Dylan Efron,34,0.390111,4
Alix Earle,34,0.376626,4
Elaine Hendrix,34,0.270183,4
Whitney Leavitt,34,0.248162,4
Andy Richter,34,0.235816,4
Danielle Fishel,34,0.208433,4
Hilaria Baldwin,34,0.204865,4
Corey Feldman,34,0.200416,4
Jen Affleck,34,0.18835,4
Jordan Chiles,34,0.122879,4
Scott Hoying,34,0.021927,4
Lauren Jauregui,34,0.017779,4
Baron Davis,34,0.0,4
